Player_id,Player,Squad_id,Nation,Pos,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Sh,SoT,Dist,FK,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,PPA,Tkl,Challenges_Tkl,Challenges_Lost,Blocks,Err,Touches,Touches_DefPen,Touches_AttPen,Take-Ons_Succ,Take-Ons_Tkld,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Dis,Receiving_Rec,Subs,unSub,2CrdY,Fls,Fld,Off,PKcon,OG,Recov
079adda9,Marie Bousquet,700c41b4,fr FRA,"DF,MF",18,2004,4,0,18,0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,,0.0,13.0,14.0,198.0,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,6.0,20.0,12.0,0.0,8.0,5,1.0,0,0.0,0.0,1.0,0.0,0,2.0
623d0667,Signe Bruun,7f2012ad,dk DEN,FW,25,1998,16,7,705,7,2,0,0,0,0,7.0,23.0,77.0,48.0,24.0,13.6,0.0,143.0,202.0,2098.0,379.0,10.0,5.0,4.0,2.0,3.0,4.0,0.0,291.0,1.0,63.0,1.0,3.0,142.0,588.0,234.0,8.0,215.0,0,4.0,0,7.0,7.0,8.0,0.0,0,28.0
6e8c2ee2,Emily Burns,68f9fd31,ca CAN,GK,25,1997,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,11.0,35.0,316.0,202.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,40.0,0.0,0.0,0.0,17.0,169.0,137.0,0.0,7.0,5,0.0,0,0.0,2.0,0.0,0.0,0,0.0
fa205073,Kessya Bussy,e3696882,fr FRA,"FW,MF",21,2001,16,13,1243,8,6,0,0,0,0,61.0,42.0,143.0,31.0,18.0,16.8,0.0,233.0,370.0,3798.0,1212.0,22.0,15.0,15.0,5.0,8.0,12.0,0.0,519.0,7.0,66.0,10.0,23.0,338.0,2665.0,1510.0,16.0,367.0,0,1.0,0,6.0,13.0,11.0,0.0,0,84.0
74c78fea,Anaïg Butel,28d9b675,fr FRA,DF,31,1992,14,14,1157,1,0,0,0,2,0,11.0,60.0,4.0,5.0,3.0,11.7,0.0,613.0,739.0,12142.0,5011.0,1.0,1.0,23.0,8.0,7.0,19.0,1.0,885.0,112.0,10.0,3.0,0.0,498.0,2954.0,1708.0,1.0,536.0,5,2.0,0,19.0,14.0,0.0,0.0,0,108.0
d755fdf8,Sarah Cambot,abc4f6d7,fr FRA,"FW,MF",30,1993,19,18,1571,6,1,0,0,0,0,21.0,61.0,50.0,33.0,14.0,21.6,6.0,400.0,574.0,7147.0,2867.0,19.0,8.0,24.0,9.0,12.0,18.0,0.0,702.0,4.0,17.0,8.0,5.0,332.0,1599.0,736.0,12.0,414.0,0,0.0,0,12.0,29.0,2.0,0.0,0,102.0
c685a294,Laurie Cance,700c41b4,fr FRA,"MF,FW",27,1995,18,18,1588,0,4,0,0,4,0,40.0,115.0,82.0,22.0,10.0,21.6,0.0,546.0,756.0,8863.0,3414.0,30.0,29.0,50.0,21.0,29.0,23.0,0.0,1003.0,9.0,49.0,36.0,27.0,613.0,3455.0,1477.0,94.0,717.0,4,3.0,0,33.0,57.0,5.0,1.0,0,157.0
cc844fe0,Clémentine Canon,700c41b4,fr FRA,DF,24,1999,17,12,1049,0,1,0,0,1,0,6.0,25.0,14.0,2.0,0.0,21.2,0.0,348.0,502.0,5230.0,2732.0,4.0,3.0,30.0,14.0,5.0,15.0,0.0,609.0,28.0,3.0,1.0,6.0,194.0,872.0,358.0,16.0,236.0,0,7.0,0,15.0,15.0,1.0,0.0,0,66.0
da8af643,Mickaélla Cardia,69dee2b0,fr FRA,"FW,MF",23,2000,14,13,1097,2,2,0,0,1,0,15.0,26.0,56.0,14.0,3.0,15.2,0.0,145.0,241.0,2199.0,639.0,3.0,3.0,20.0,10.0,7.0,10.0,0.0,409.0,6.0,28.0,17.0,27.0,258.0,1527.0,574.0,36.0,287.0,9,2.0,0,25.0,35.0,4.0,0.0,0,64.0
5f2af172,Ellie Carpenter,7f2012ad,au AUS,DF,22,2000,4,3,275,0,0,0,0,1,0,10.0,22.0,30.0,4.0,1.0,16.8,0.0,151.0,182.0,2675.0,967.0,5.0,12.0,10.0,3.0,2.0,1.0,0.0,209.0,8.0,8.0,4.0,1.0,105.0,660.0,374.0,2.0,114.0,0,16.0,0,4.0,1.0,1.0,1.0,0,30.0
9d82fe8e,Delphine Cascarino,7f2012ad,fr FRA,FW,26,1997,15,13,1079,4,4,0,0,1,0,64.0,53.0,159.0,31.0,9.0,17.4,0.0,320.0,445.0,4852.0,1159.0,25.0,25.0,16.0,8.0,3.0,3.0,0.0,599.0,2.0,83.0,33.0,29.0,396.0,2899.0,1479.0,35.0,455.0,3,1.0,0,7.0,12.0,3.0,0.0,0,67.0
c062b117,Estelle Cascarino,80595417,fr FRA,DF,26,1997,5,4,350,0,1,0,0,0,0,6.0,23.0,27.0,1.0,0.0,15.3,0.0,260.0,302.0,4710.0,1924.0,4.0,2.0,8.0,2.0,1.0,3.0,0.0,334.0,9.0,5.0,1.0,3.0,204.0,910.0,480.0,3.0,251.0,0,0.0,0,7.0,6.0,0.0,0.0,0,33.0
1722c1c3,Janice Cayman,7f2012ad,be BEL,DF,34,1988,14,7,823,2,0,0,0,0,0,13.0,55.0,67.0,18.0,9.0,15.1,0.0,471.0,604.0,7731.0,3124.0,20.0,24.0,17.0,8.0,6.0,9.0,0.0,691.0,7.0,26.0,2.0,7.0,310.0,1332.0,718.0,5.0,401.0,1,0.0,0,4.0,11.0,1.0,0.0,0,52.0
970bb9fa,Noxolo Cesane,e3696882,za RSA,"FW,MF",22,2000,7,1,127,0,0,0,0,1,0,1.0,1.0,6.0,1.0,0.0,6.0,0.0,26.0,31.0,365.0,94.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,44.0,0.0,1.0,1.0,4.0,25.0,132.0,50.0,0.0,30.0,0,0.0,0,0.0,1.0,1.0,0.0,0,5.0
11e93420,Solene Champagnac,700c41b4,fr FRA,"MF,DF",23,1999,19,11,1024,0,1,0,0,4,0,5.0,43.0,12.0,9.0,1.0,30.1,3.0,260.0,409.0,4793.0,1722.0,6.0,3.0,12.0,0.0,6.0,13.0,0.0,532.0,41.0,2.0,1.0,2.0,165.0,844.0,427.0,7.0,223.0,5,0.0,0,29.0,17.0,0.0,0.0,0,60.0
85453f89,Delphine Chatelin,69dee2b0,fr FRA,DF,34,1988,11,9,822,0,1,0,0,0,0,19.0,21.0,19.0,1.0,0.0,23.6,0.0,290.0,413.0,4725.0,2236.0,3.0,2.0,16.0,7.0,10.0,9.0,0.0,522.0,23.0,6.0,6.0,6.0,239.0,1598.0,781.0,14.0,234.0,0,2.0,0,5.0,6.0,0.0,0.0,0,73.0
686c3561,Mylène Chavas,69dee2b0,fr FRA,GK,25,1998,16,16,1440,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,461.0,583.0,11306.0,7354.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,604.0,532.0,0.0,0.0,0.0,326.0,1616.0,1072.0,0.0,209.0,1,0.0,0,0.0,4.0,0.0,0.0,0,18.0
e2d168d8,Shana Chossenotte,e3696882,fr FRA,FW,18,2005,8,5,356,0,0,0,0,0,0,5.0,6.0,17.0,2.0,1.0,20.1,0.0,28.0,57.0,414.0,129.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,113.0,2.0,8.0,2.0,8.0,71.0,373.0,105.0,6.0,69.0,1,0.0,0,6.0,5.0,3.0,0.0,0,14.0
9175389b,Anna Clérac,b54d31b3,fr FRA,MF,25,1997,8,7,537,0,0,0,0,1,0,5.0,13.0,6.0,4.0,0.0,22.3,1.0,110.0,180.0,1994.0,794.0,4.0,1.0,8.0,4.0,7.0,0.0,0.0,235.0,5.0,6.0,4.0,3.0,89.0,432.0,209.0,1.0,112.0,2,0.0,0,6.0,12.0,0.0,0.0,0,37.0
a13afbf7,Camille Collin-Rougier,b54d31b3,fr FRA,DF,22,2000,19,18,1605,1,1,0,0,3,0,2.0,27.0,4.0,6.0,2.0,8.7,0.0,371.0,592.0,7220.0,4406.0,4.0,2.0,26.0,16.0,11.0,17.0,0.0,753.0,113.0,12.0,0.0,0.0,262.0,1047.0,495.0,0.0,302.0,1,6.0,0,10.0,9.0,0.0,0.0,0,87.0
f741dd9b,Laura Condon,b54d31b3,fr FRA,MF,26,1997,8,7,578,1,0,0,0,1,0,4.0,30.0,2.0,8.0,1.0,18.4,1.0,172.0,245.0,3238.0,1401.0,9.0,3.0,18.0,7.0,6.0,10.0,0.0,310.0,12.0,6.0,4.0,2.0,120.0,570.0,268.0,3.0,152.0,0,1.0,0,6.0,2.0,0.0,0.0,0,61.0
673a5b36,Adéle Connesson,e3696882,fr FRA,"MF,FW",18,2004,7,0,71,0,1,0,0,0,0,0.0,1.0,5.0,2.0,2.0,19.3,0.0,13.0,28.0,168.0,40.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,34.0,1.0,2.0,0.0,0.0,17.0,57.0,15.0,2.0,22.0,7,3.0,0,0.0,1.0,1.0,0.0,0,4.0
4dad8991,Judith Coquet,7bbdea71,fr FRA,"MF,FW",19,2003,10,0,72,0,0,0,0,0,0,0.0,3.0,6.0,0.0,0.0,,0.0,18.0,28.0,262.0,106.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,2.0,2.0,25.0,191.0,48.0,3.0,27.0,6,3.0,0,3.0,0.0,1.0,0.0,0,6.0
1a95407f,Daphne Corboz,28d9b675,us USA,MF,29,1993,14,12,938,0,0,0,0,0,0,5.0,62.0,9.0,12.0,5.0,23.2,0.0,398.0,531.0,6153.0,2254.0,6.0,6.0,52.0,29.0,24.0,22.0,0.0,696.0,12.0,10.0,10.0,10.0,349.0,1406.0,598.0,14.0,377.0,8,0.0,0,16.0,3.0,0.0,0.0,0,133.0
